word,x,y,cluster,frequency
whats,22.658524,-3.7817502,0,30
skin,24.237633,-3.6747663,-1,30
strip,21.434456,-4.260618,-1,30
layer,24.363245,-1.4106431,-1,30
peel,21.773968,-4.4444685,0,30
back,23.25401,-1.9782983,0,30
mask,22.438332,-3.4064724,-1,30
playingwhats,23.22538,-4.7312965,-1,30
turning,23.331654,-1.5347509,-1,30
claim,25.728518,-3.4512963,-1,30
suddenly,23.153719,-1.5576445,-1,30
breathe,22.447462,-3.0236256,0,30
sun,27.628942,-3.3957567,-1,30
worrying,25.041227,-1.7496704,0,30
ask,22.726732,-3.1742182,-1,30
look,25.442102,-3.1031241,-1,30
hear,25.56344,-2.852785,-1,30
voice,24.59269,-5.3252025,-1,30
drowned,25.965153,-5.167174,-1,30
exist,24.6956,-3.233579,-1,30
terrifying,25.960981,-3.1505165,-1,30
decade,27.278357,-2.3139834,-1,30
whole,27.094025,-2.9803412,-1,30
lifetime,26.399595,-4.037792,-1,30
put,23.785057,-4.3905344,0,30
hollow,24.781296,-1.5340731,0,30
differently,26.667252,-3.3960855,0,30
workingto,23.944277,-6.126804,-1,30
prevalent,25.998896,-4.6477494,-1,30
exposed,25.449558,-2.7953186,0,30
worked,24.930553,-4.212122,0,30
reacting,24.440552,-3.3819113,-1,30
built,24.709759,-5.4167237,0,30
ive,23.429306,-1.9765632,0,30
called,21.935022,-4.1994658,0,30
emotional,27.486708,-4.3345966,-1,30
bad,24.873156,-3.5806694,-1,30
able,25.543507,-1.875156,0,30
weakness,25.94509,-5.0469227,-1,30
least,23.893566,-3.553463,0,30
open,27.34109,-5.2501116,0,30
person,22.387396,-3.6468554,-1,30
mine,27.343876,-3.4201715,-1,30
numb,25.920912,-2.202632,0,30
moved,25.272488,-2.6568706,-1,30
wish,23.547537,-4.825804,-1,30
drowning,24.269375,-2.234734,-1,30
manageable,27.025341,-2.7122846,-1,30
heavy,27.8124,-4.0292974,0,30
wonder,27.553925,-3.0308194,-1,30
befeeling,25.513363,-2.6148987,-1,30
fix,24.351088,-3.1427627,-1,30
space,25.059721,-5.064492,0,30
blessing,27.103224,-5.1440196,-1,30
letting,24.608297,-5.1693664,0,30
problem,24.200172,-5.6727476,-1,30
different,22.651827,-4.1789794,-1,30
imagined,23.583977,-2.258412,-1,30
direction,23.49239,-3.3106706,0,30
giving,25.47923,-4.743724,0,30
trusting,24.493347,-4.3333063,-1,30
allowed,21.760576,-3.1435,-1,30
truth,23.517273,-4.3368134,-1,30
straight,23.381147,-4.7863417,-1,30
line,22.600975,-3.792945,-1,30
unpredictable,24.937464,-3.0252395,-1,30
beautiful,22.45741,-4.459552,-1,30
discover,23.558123,-5.8047266,0,30
landscape,22.733,-4.1132736,-1,30
movingpeople,26.236725,-2.0880704,-1,30
making,26.69798,-5.14539,-1,30
lot,24.58149,-5.191381,-1,30
sadness,24.824602,-5.751808,0,30
sits,26.546665,-3.7405841,0,30
chest,24.344715,-1.9394566,-1,30
belongs,25.703918,-4.3139734,-1,30
pain,25.940226,-3.6990314,-1,30
arent,24.653841,-2.1868327,-1,30
bone,23.970371,-2.259126,-1,30
tried,22.871098,-5.2571144,-1,30
told,23.186914,-4.259722,0,30
caring,23.435423,-5.384387,0,30
listenif,25.094372,-1.5080948,-1,30
scared,24.253529,-3.6548774,-1,30
acceptable,26.641474,-4.377994,-1,30
work,27.171265,-2.8622732,0,30
curse,26.120392,-5.8056145,-1,30
quiet,25.63882,-3.7089467,0,30
force,27.867292,-3.1946912,-1,30
speak,22.136044,-3.7091067,-1,30
imply,22.492384,-3.5869167,-1,30
please,22.013369,-3.2029557,-1,30
worthy,25.815475,-3.5678515,-1,30
define,25.37674,-5.1828256,-1,30
parent,24.501892,-2.778575,0,30
society,25.40916,-3.159075,0,30
thingit,27.462757,-2.3605285,-1,30
sitting,25.994045,-2.756008,-1,30
opinionsexcept,27.505575,-5.356043,-1,30
hard,27.14849,-3.8302195,-1,30
question,24.066229,-4.6355867,1,30
brutally,24.647303,-3.8862605,-1,30
honest,25.709082,-2.7241895,0,30
easy,25.644993,-5.04601,0,30
uncomfortable,27.023844,-4.2595525,-1,30
sometimes,27.032934,-2.5455165,-1,30
lonely,25.999655,-3.0001972,-1,30
worth,24.959776,-3.445841,-1,30
alternative,26.270586,-2.3267171,-1,30
mirror,25.939472,-5.639903,-1,30
expressing,23.30038,-5.133457,-1,30
realize,27.205683,-5.0952086,-1,30
practical,26.8409,-3.7021334,-1,30
video,22.214872,-3.293018,-1,30
higher,26.07699,-5.048863,-1,30
platform,26.198658,-5.384794,-1,30
coursera,25.727245,-5.380451,-1,30
edx,26.37087,-5.122954,-1,30
individual,25.407675,-5.5372586,0,30
course,26.455135,-5.074423,-1,30
top,26.103447,-4.812603,-1,30
university,26.459019,-4.477849,0,30
leaving,26.437428,-4.6924067,-1,30
home,25.706326,-5.4580708,-1,30
saw,25.378439,-1.8941247,-1,30
tiktok,26.329649,-3.0261376,-1,30
wake,27.782759,-2.4656398,-1,30
said,25.169264,-2.3957558,-1,30
end,24.569157,-1.9940542,-1,30
absorbing,27.344929,-3.3774238,-1,30
definition,26.364105,-2.6050522,-1,30
hit,25.207144,-5.9780045,-1,30
